arch,binary,test,weight
amd64,besen,crypto.js,1.9371
amd64,besen,deltablue.js,1.4645
amd64,besen,navier-stokes.js,3.9199
amd64,besen,richards.ucode.js,0.9346
amd64,boa,box2d.js,2.4731
amd64,boa,code-load.js,4.9435
amd64,boa,crypto.js,2.3233
amd64,boa,deltablue.js,2.5124
amd64,boa,earley-boyer.js,3.6161
amd64,boa,gbemu.js,2.5899
amd64,boa,mandreel.js,1.117
amd64,boa,navier-stokes.js,3.4378
amd64,boa,pdfjs.js,2.3897
amd64,boa,raytrace.js,3.4391
amd64,boa,regexp.js,1.649
amd64,boa,richards.ucode.js,1.2615
amd64,boa,splay.js,4.3085
amd64,boa,typescript.js,0
amd64,boa,zlib.js,0.645
amd64,brimstone,box2d.js,2.2706
amd64,brimstone,code-load.js,8.3435
amd64,brimstone,crypto.js,2.7328
amd64,brimstone,deltablue.js,2.9368
amd64,brimstone,earley-boyer.js,4.8471
amd64,brimstone,gbemu.js,2.795
amd64,brimstone,mandreel.js,1.1649
amd64,brimstone,navier-stokes.js,3.1747
amd64,brimstone,pdfjs.js,2.8117
amd64,brimstone,raytrace.js,4.0248
amd64,brimstone,regexp.js,2.601
amd64,brimstone,richards.ucode.js,1.2576
amd64,brimstone,splay.js,5.6447
amd64,brimstone,typescript.js,4.2012
amd64,brimstone,zlib.js,0.8824
amd64,castl,box2d.js,3.8894
amd64,castl,code-load.js,0
amd64,castl,crypto.js,3.557
amd64,castl,deltablue.js,3.3615
amd64,castl,earley-boyer.js,0
amd64,castl,gbemu.js,0
amd64,castl,mandreel.js,0
amd64,castl,navier-stokes.js,4.4381
amd64,castl,pdfjs.js,0
amd64,castl,raytrace.js,3.665
amd64,castl,regexp.js,0
amd64,castl,richards.ucode.js,2.2404
amd64,castl,splay.js,6.8495
amd64,castl,typescript.js,0
amd64,castl,zlib.js,0
amd64,cesanta-v7,richards.ucode.js,0.3217
amd64,chakracore,box2d.js,0
amd64,chakracore,code-load.js,9.1244
amd64,chakracore,crypto.js,19.583
amd64,chakracore,deltablue.js,19.583
amd64,chakracore,earley-boyer.js,0
amd64,chakracore,gbemu.js,9.7915
amd64,chakracore,mandreel.js,9.7915
amd64,chakracore,navier-stokes.js,19.583
amd64,chakracore,pdfjs.js,0
amd64,chakracore,raytrace.js,19.583
amd64,chakracore,regexp.js,9.8859
